"Google API","Google API"
"Google Analytics 4","Google Analytics 4"
"Enable","Enable"
"Account Number","Account Number"
"Anonymize IP","Anonymize IP"
"Samdoit Extensions","Samdoit Extensions"
"General","General"
"Enable Extension","Enable Extension"
"Measurement ID","Measurement ID"
"Events","Events"
"Product Attributes Mapping","Product Attributes Mapping"
"Product Identifier","Product Identifier"
"Brand Identifier","Brand Identifier"
"--Please Select--","--Please Select--"
"Google Analytics Extension","Google Analytics Extension"
"Available in Google Analytics 4 Plus Only","Available in Google Analytics 4 Plus Only"
"Google Analytics 4 Plus","Google Analytics 4 Plus"
"Upgrade to Google Analytics 4 Plus","Upgrade to Google Analytics 4 Plus"
